Measurement,CO2_Treat1,Ring,Tree,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,CO2S,Press,E
Morning,plus150,R1,116,29.04,0.46,405.85,4.88,1.22,26.24,531.17,100.99,0.005556986
Morning,plus150,R1,117,31.94,0.44,393.37,4.58,1.19,25.69,534.8,101.01,0.005183645
Morning,plus150,R1,122,25.29,0.42,418.75,4.21,1.15,25.63,536.82,101.01,0.004781705
Morning,amb,R2,202,22.25,0.41,280.06,3.81,1.1,26.17,390.7,101.01,0.004464904
Morning,amb,R2,207,25.64,0.47,281.98,3.87,0.96,25.56,387.88,101.04,0.004465558
Morning,amb,R2,209,23.6,0.5,293.15,4.08,0.99,25.85,389.76,101,0.00490099
Morning,amb,R3,302,23.82,0.38,267.39,4.37,1.27,28.17,389.5,101.03,0.004776799
Morning,amb,R3,320,21.52,0.46,297.3,5.37,1.36,27.98,391.78,100.97,0.0061959
Morning,amb,R3,321,29.92,0.62,282.56,6.24,1.21,28.17,381.17,100.96,0.007430666
Morning,plus150,R4,403,28.18,0.43,410.98,4.26,1.15,27.73,537.76,101.04,0.004894101
Morning,plus150,R4,408,32.28,0.44,386.67,5.12,1.33,27.78,535.37,101.01,0.005793486
Morning,plus150,R4,422,31.74,0.38,382.82,4.83,1.42,27.76,541.92,100.97,0.005344162
Morning,plus150,R5,501,24.99,0.41,425.1,3.62,0.99,24.59647446,541.7330485,101.4458257,0.00400115
Morning,plus150,R5,502,35.9,0.47,396.25,4.21,1.04,24.71692361,544.3696696,101.45337,0.004817977
Morning,plus150,R5,509,23.78,0.26,373.83,2.69,1.11,24.830413,539.352635,101.4518117,0.0028447
Morning,amb,R6,603,26.8,0.54,287.34,4.15,0.91,25.07370218,385.090917,101.4188347,0.004845254
Morning,amb,R6,607,25.4,0.68,310.25,3.84,0.7,25.35421066,387.7386292,101.4092773,0.004693851
Morning,amb,R6,612,26.82,0.82,314.7,4.93,0.78,25.09483624,385.9757233,101.4281044,0.006305945
Afternoon,plus150,R1,116,29.8817062,0.472669036,403.4786642,6.127268981,1.504052911,28.71801872,530.3694051,100.7728241,0.007054672
Afternoon,plus150,R1,117,27.81399035,0.42052678,399.9912018,5.926743855,1.599707984,28.98227145,532.4453176,100.7961685,0.006674064
Afternoon,plus150,R1,122,26.62315504,0.272085121,348.6077533,4.076700264,1.670333239,28.6579565,535.1595398,100.7628654,0.004510321
Afternoon,amb,R2,202,24.48253367,0.478339879,283.6950173,6.675049863,1.586398966,28.90758314,386.1755112,100.8182045,0.007526794
Afternoon,amb,R2,207,22.42807329,0.444908239,288.7286593,6.295294692,1.587794167,29.10922411,389.0430854,100.8065031,0.00700771
Afternoon,amb,R2,209,21.44484999,0.306384742,245.8791126,4.817565631,1.706566227,28.70345242,391.5857086,100.7809715,0.005188141
Afternoon,amb,R3,302,23.03368783,0.380691993,272.9620366,5.265641453,1.525343072,29.06591914,389.6469844,100.8005174,0.005760743
Afternoon,amb,R3,320,20.8895118,0.295063571,249.5783452,4.330433117,1.557375315,29.15410668,393.1637187,100.7536407,0.004560875
Afternoon,amb,R3,321,22.22413546,0.519314275,296.3458103,5.694289356,1.265900806,28.72357874,390.4220383,100.7463192,0.006525304
Afternoon,plus150,R4,403,24.3315856,0.228838369,346.7115216,3.602259929,1.701223536,28.91108027,545.5021973,100.8083121,0.003861837
Afternoon,plus150,R4,408,27.37275877,0.324981286,367.0949629,4.926391209,1.659656386,29.67577696,537.9709269,100.7815577,0.005351746
Afternoon,plus150,R4,422,30.11170805,0.359629323,379.0508457,4.83373258,1.476400273,28.91258553,538.4167437,100.7413504,0.005270495
Afternoon,plus150,R5,501,19.41070647,0.248633216,393.9311714,3.18971029,1.369449729,27.80856514,538.5643223,101.2428938,0.003363107
Afternoon,plus150,R5,502,28.22257191,0.291215222,363.9270512,3.260528233,1.211844521,27.32898102,541.4566284,101.2353027,0.003486013
Afternoon,plus150,R5,509,18.51260229,0.140295627,293.26717,1.796601757,1.371710541,27.24206478,542.263663,101.1978159,0.001901671
Afternoon,amb,R6,603,20.52567032,0.437976587,299.4100605,5.014333466,1.306911585,26.84663264,391.862854,101.213473,0.005655341
Afternoon,amb,R6,607,25.60579286,0.626513258,301.5386618,5.859893264,1.132209158,27.07819058,386.3413239,101.1998552,0.007009339
Afternoon,amb,R6,612,17.05787639,0.421485047,317.2882079,4.647572357,1.251310938,26.96634026,397.6871094,101.1887054,0.005212132
